snapper_length,group
2.875,1
2.875,1
2.875,1
2.875,1
2.875,1
2.875,1
3.125,1
3.125,1
3.125,1
3.125,1
3.125,1
3.125,1
3.125,1
3.375,1
3.375,1
3.375,1
3.375,1
3.375,1
3.375,1
3.375,1
3.375,1
3.375,1
3.625,1
3.625,1
3.625,1
3.875,1
3.875,1
3.875,1
4.125,1
4.125,1
4.125,1
4.125,1
4.375,1
4.375,1
4.375,1
4.375,1
4.375,1
4.375,1
4.625,1
4.625,1
4.625,1
4.625,1
4.625,1
4.625,1
4.625,1
4.625,1
4.625,1
4.625,1
4.625,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
4.875,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.125,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.375,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.625,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
5.875,1
6.125,1
6.125,1
6.125,1
6.125,1
6.125,1
6.125,1
6.125,1
6.125,1
6.125,1
6.125,1
6.125,1
6.375,1
6.375,1
6.375,1
6.375,1
6.375,1
6.375,1
6.375,1
6.375,1
6.625,1
6.625,1
6.625,1
6.625,1
6.875,1
6.875,1
6.875,1
6.875,1
6.875,1
6.875,1
6.875,1
7.125,2
7.125,2
7.125,2
7.125,2
7.125,2
7.125,2
7.125,2
7.125,2
7.125,2
7.125,2
7.125,2
7.375,2
7.375,2
7.375,2
7.375,2
7.375,2
7.375,2
7.375,2
7.375,2
7.375,2
7.375,2
7.375,2
7.625,2
7.625,2
7.625,2
7.625,2
7.625,2
7.625,2
7.625,2
7.625,2
7.625,2
7.625,2
7.625,2
7.875,2
7.875,2
7.875,2
7.875,2
7.875,2
7.875,2
7.875,2
7.875,2
7.875,2
8.125,2
8.125,2
8.125,2
8.125,2
8.125,2
8.125,2
8.375,2
8.375,2
8.375,2
8.375,2
8.625,2
8.625,2
8.625,2
8.875,2
8.875,2
8.875,2
9.125,2
9.125,2
9.375,2
9.375,2
9.625,2
9.625,2
9.625,2
9.625,2
9.875,2
9.875,2
9.875,2
10.125,2
10.125,2
10.375,2
10.375,2
10.625,2
10.875,2
11.375,2
11.875,2
12.375,2
12.625,2
